Name,User ID,Followers,Followed,Tweets,Listed Count,Favourites Count,Media Count,Verified,Joined Twitter Date (UTC),Location,Description,Tweeted Search Term?,Pinned Tweet ID,URL,Is Blue Verified,LABEL
Vante,1.47E+18,6027,1741,4548,0,3453,5,FALSE,12/8/2021 10:44,,Politics,Yes,,,FALSE,1
cara_mel_and_toast,1.50E+18,104,293,3084,0,18247,18,FALSE,3/10/2022 8:14,,"just another Max Verstappen fan ‼️‼️‼️‼️
digital communication strategist",Yes,,,FALSE,0
Steve Mucha,1.61E+18,372,1021,737,1,213180,1,FALSE,1/4/2023 15:41,"Nairobi, Kenya","Tech📱🔋, Forex📈, Crypto 📉, Nature🌻",Yes,,,FALSE,0
Handybanks,1229768226,274,449,5789,6,0,24,FALSE,3/1/2013 13:04,"Nairobi, Kenya","Bitcoin,crypto and blockchain Evangelist,Decentralized finance,Business owner,Awaken and connecting conscious people,",Yes,1.29E+18,,FALSE,0
Siz,4187529743,119,94,3618,0,17848,3,FALSE,11/14/2015 16:25,,"🇯🇵 Weebs assemble 🎎❤️.                                  
Conspiracy theories
END TIMES :69",Yes,,,FALSE,1
Ommy the don😎,1.77E+18,3,33,132,0,197,2,FALSE,3/31/2024 12:13,"Ruiru, Kenya","treasonous goon✊🏽 wannabe activist😎 Manchester united 🔥💯RUTO MUST GO🤗 Actor, musician",Yes,,,FALSE,0
J_Meliora,1.80E+18,9,44,1164,0,187,10,FALSE,6/1/2024 8:42,,"🇰🇪

#RejectFinanceBill2024",Yes,,,FALSE,1
🌼 Sunshine Is A Bad Girl💅🏽,1.05E+18,1008,339,18459,4,30787,633,FALSE,10/6/2018 17:44,"Nairobi, Kenya","GenZ, Feminist, Researcher, Product Designer, Multipotentialite 🇰🇪.",Yes,,,FALSE,0
De Ko,1.64E+18,49,152,78,0,310,0,FALSE,3/13/2023 14:01,,,Yes,,,FALSE,0
Rawnicle,9.24E+17,346,1085,1997,0,9252,178,FALSE,10/27/2017 8:40,,"Traveller, Enterprenuer, I.T Engineer,",Yes,,,FALSE,1
Mufasa,2477304105,12134,7477,15085,3,10710,796,FALSE,4/11/2014 22:26,"Mombasa, Kenya","Don't ever go with the flow, Be the flow!",Yes,1.52E+18,,FALSE,0
Immah,1.36E+18,156,139,9196,0,4253,0,FALSE,2/3/2021 17:21,,Pretty blessings,Yes,,,FALSE,1
Akinfela Robert,1.13E+18,78,254,2783,0,7033,7,FALSE,5/28/2019 7:16,"Ondo, Nigeria",Child of the Most High🦅. Educator per excellence👨‍🏫. Extremely introverted🚪. Lover of peace🕊. Politics🗣. Exclusive. Manchester United 🤟 Let's be friends!,Yes,,,FALSE,0
Tolbert Clay,1.80E+18,17,114,465,0,68,4,FALSE,6/6/2024 3:22,,,Yes,,,FALSE,0
./,1.73E+18,95,131,4432,0,7164,19,FALSE,11/19/2023 7:49,Data,CHESS|DATA|MUFC|KANYE (Noob),Yes,,,FALSE,1
Franklin Makori,377811974,387,932,5488,0,11508,24,FALSE,9/22/2011 4:31,"Nairobi, Kenya","Servant and lover of God, Passionate marketer, founder Pinacom Media (BTL agency) & HF Courier",Yes,,https://t.co/CiGFfrAITs,FALSE,1
Teddy Muema,1.02E+18,397,414,3564,1,28614,44,FALSE,7/19/2018 18:25,"Nairobi, Kenya",https://t.co/6dCendBWUb,Yes,,,FALSE,0
Kenyan Childish,1.46E+18,80,91,1529,0,14407,1,FALSE,11/4/2021 7:25,,Hmm.,Yes,,,FALSE,1
Peter Okoyo 🇰🇪,1.10E+18,3276,3382,79392,0,291174,341,FALSE,2/25/2019 7:27,Kenya,"Cyber Services @thewavecyber |
Jerseys, Polo and Round Neck Tshirts and branding services @pizzaroperfect |
WhatsApp +254115311503 |
Kindly retweet pinned post",Yes,1.77E+18,https://t.co/LXSRMfkP7x,FALSE,0
Kurosaki Drew,1.63E+18,20,99,460,0,1253,26,FALSE,3/1/2023 10:50,,"In the name of life, in the name of death, in the name of honor....live and let live.
Man Utd, Mercedes AMG PETRONAS & Celtics ☘️ for life 🇰🇪",Yes,,,FALSE,0
shaggy mickey,1.37E+18,125,141,9348,0,9616,6,FALSE,3/15/2021 11:27,"Nairobi, Kenya",,Yes,,,FALSE,0
its_joy,9.53E+17,163,398,2194,1,6394,1,FALSE,1/14/2018 12:16,"Nairobi, Kenya",,Yes,,,FALSE,0
Mariam,1.49E+18,4684,906,12624,1,17135,1718,FALSE,2/8/2022 8:22,In Your Imagination,,No,1.81E+18,,FALSE,0
Kitu Kuruka,1522575390,879,1343,19614,0,2074,482,FALSE,6/16/2013 16:24,"Mombasa, Kenya",Hapo Vipi?,Yes,,,FALSE,1
Diana Mbuvi,7.20E+17,8822,783,44703,7,111194,800,FALSE,4/12/2016 18:38,"Nairobi, Kenya",https://t.co/WmrTS0mml2,Yes,1.35E+18,https://t.co/L4WZUeInEB,FALSE,0
kimende,1.73E+18,9,84,276,0,62,5,FALSE,12/6/2023 7:00,,,Yes,,,FALSE,0
Liloy 👹,1.44E+18,165,119,11178,1,8673,92,FALSE,9/11/2021 9:27,,🇰🇪 T1D. Diabetes ranting space ✨,Yes,,,FALSE,1
KEHENJO,8.44E+17,290,327,595,0,2126,2,FALSE,3/22/2017 10:11,"oooh shit, u found me😏","🇰🇪, scorpio♏. F**king best time to be alive🤙. Live and let live.",Yes,,,FALSE,1
#Reject Finance Bill 🇰🇪,2722781439,2497,2679,6377,4,5197,175,FALSE,7/24/2014 8:47,,"I can’t take on everyone’s issues in life cause if I did, then I’d have a life full of issues…",Yes,1.27E+18,,FALSE,1
Kadima_Mureithi_Maina🚩,1960204542,3809,4240,21996,7,86267,1999,FALSE,10/14/2013 8:28,Global Citizen,A Manchester United prejudicialist | B Dortmund |  Ferrari | opinions yesterday could change today | Realist | 18 Dec 2022,Yes,1.81E+18,,FALSE,1
sir_Nemo,9.45E+17,54,310,3221,0,5964,24,FALSE,12/25/2017 17:18,,,Yes,,,FALSE,0
Das_,1706403462,110,203,3705,1,6755,26,FALSE,8/28/2013 5:50,,||🇰🇪||,Yes,,,FALSE,1
^×^,1.10E+18,861,700,6721,0,7534,432,FALSE,2/17/2019 17:00,,Bald is Best? | Baba the 6th.,Yes,,,FALSE,0
Tosh_,7.86E+17,632,2431,12697,1,10559,881,FALSE,10/11/2016 12:54,"Nairobi, Kenya","I prefer my Puns intended 🤪
@Chelseafc
🔞",Yes,1.55E+18,,FALSE,1
Uji Stima,1.80E+18,4,29,28,0,10,1,FALSE,5/31/2024 23:25,,I am a loyal patriotic citizen,Yes,,,FALSE,1
Myna_dennis,1.58E+18,59,208,4810,0,7849,146,FALSE,10/17/2022 12:25,Kenya,Only by helping myself can I help others 👍,Yes,,,FALSE,1
wallstreetmogul,1.67E+18,121,323,752,0,430,5,FALSE,6/21/2023 16:15,"Pennsylvania, USA",The only way to deal with an unfree world is to become so absolutely free that your very existence is an act of rebellion.,Yes,1.70E+18,,FALSE,1
Marotse💫,8.12E+17,682,629,13578,0,22924,67,FALSE,12/23/2016 8:11,"Nairobi, Kenya","Adventures feed the soul ||
Music brings the soul to life😍😍 ||
Memories serve as a diary to the soul ||Travel Consultant",Yes,,,FALSE,1
Arish,1.20E+18,6,32,112,0,648,1,FALSE,11/21/2019 17:18,,😂😂😂,Yes,,,FALSE,0
auntie boi,3353808065,537,397,44222,1,106714,288,FALSE,7/1/2015 20:17,Here ,,Yes,1.64E+18,,FALSE,0
Kenyatta National Hospital,2492768730,41204,192,5002,58,1522,3207,FALSE,5/13/2014 10:44,"Upperhill, Nairobi","Official X handle for Kenyatta National Hospital
For enquiries:+254202726300#KNHInakujali
Private Wing (KPCC):@KNHprimecare
Branches @MamaUhuru,@Mwaikibaki_hosp",No,,https://t.co/PAbNDyfm5m,FALSE,1
Black Premier,9.96E+17,14,27,155,0,1526,1,FALSE,5/13/2018 14:30,,,Yes,,,FALSE,0
Mzalendo 🇰🇪,456523645,83,455,1387,0,4470,14,FALSE,1/6/2012 10:32,nairobi,,Yes,,,FALSE,0
KatuKazuri😋,420364800,1528,2235,34597,6,22869,427,FALSE,11/24/2011 14:43,Nairobi,Reformed *°Hopeless Romantic°*| Digital Marketing Queen | Social Butterfly🦋 | Cat Woman🐈 | Chicken 🍗 Lover ❣️,Yes,1.78E+18,https://t.co/LXqAMzLZzc,FALSE,0
Theo Hitman,1.61E+18,154,451,10897,0,52240,13,FALSE,12/20/2022 6:26,,,Yes,,,FALSE,0
Omo Iya Oniresi #UncommonHelper,475832820,6599,6419,131653,3,170238,408,FALSE,1/27/2012 13:50,Nigeria,Easy going and God fearing. Love good governance and hate deceit. Every RETWEET is not a confirmation but a road to good governance. Proud Nigerian 🇳🇬,Yes,1.30E+18,,FALSE,1
Alex Triyen,8.31E+17,330,251,144,0,67,6,FALSE,2/13/2017 16:27,Nairobi Kenya ,A pretty figured out dude,Yes,,,FALSE,0
Samuel Muthoni,1.73E+18,0,8,269,0,84,1,FALSE,12/3/2023 8:08,,,Yes,,,FALSE,0
Duchess of Karatinashire,2523926885,2385,2022,51181,6,217710,1398,FALSE,5/2/2014 19:46,Kenya,Code  👩🏽‍💻 | Travel ✈️ | ALX Cohort 10 | Serendipity ✨,Yes,1.65E+18,https://t.co/5H9Z7VIfAD,FALSE,1
YNOT,297332337,496,681,20529,2,90301,44,FALSE,5/12/2011 10:20,,Let that curiosity never end.,Yes,,,FALSE,0
Geon CJ🇰🇪,1.75E+18,56,184,2802,0,35025,0,FALSE,1/12/2024 9:07,"Nairobi, Kenya",Life is a God Novel let him write it,Yes,,https://t.co/AOwYdI2V8b,FALSE,1
KMK,1.41E+18,22,18,4166,0,142,3,FALSE,7/4/2021 10:07,"Hamburg, Germany",Jungle in Bengal,Yes,,,FALSE,1
Jesse Orwa,1.25E+18,57,142,2261,0,12309,10,FALSE,4/9/2020 18:56,,here by faith in Him to dwell  || sport enthusiast,Yes,,,FALSE,1
Seventy WAN! FREEMAN!,39464340,1973,1077,45638,6,54341,6121,FALSE,5/12/2009 9:05,What is West of Westeros..?,"Anybody who eats Njahi is not welcome here! When I die, just know that... Njahi somehow did it!!",Yes,1.68E+18,,FALSE,1
Tinayo,1.23E+18,1711,2860,82439,2,401051,245,FALSE,2/14/2020 7:56,Enkanasa,City💙,Yes,1.74E+18,,FALSE,0
Deborah Okoth,619846999,1541,1895,8795,2,27214,273,FALSE,6/27/2012 9:39,"Toronto, Ontario","If in doubt, choose yourself❤️",Yes,,,FALSE,1
Boss,1.71E+18,34,49,3687,0,6036,1,FALSE,9/24/2023 8:51,,,Yes,,,FALSE,0
Toph,701083338,265,565,13902,2,96628,47,FALSE,7/17/2012 13:46,my happy place,"Show up and show out.
Never forget 25/06/2024",Yes,1.28E+18,,FALSE,0
ルウカス,1536679508,1332,750,19115,3,139819,3385,FALSE,6/21/2013 14:51,In Your Mind Rent Free,~If I didn't I should have~,Yes,,,FALSE,0
Ron maina,1.55E+18,51,80,29,0,53,0,FALSE,7/25/2022 11:18,,,Yes,,,FALSE,0
jimmy,1.15E+18,122,160,1156,0,2547,7,FALSE,7/1/2019 18:29,,,Yes,,,FALSE,0
Nyambura G,7.90E+17,33,229,725,0,1177,4,FALSE,10/24/2016 7:45,,,Yes,,,FALSE,0
onefaith_,1.55E+18,5,106,22,0,274,2,FALSE,7/13/2022 5:16,,,Yes,,,FALSE,0
Teresa 🦋,2956666851,1718,462,120335,0,154550,220,FALSE,1/2/2015 14:43,,Just here for the foolishness😂 / Avocado and Cat lover❤️,Yes,1.43E+18,,FALSE,1
Missus Atticus Finch 👓,433246224,2938,1173,63717,7,31092,1500,FALSE,12/10/2011 9:55,Kenya,#mum #bibliophile #kenyandaughter ~when women affirm women it unlocks our power. It gives us permission to shine brighter~💃,Yes,1.78E+18,,FALSE,0
World Of Tech KE,1.39E+18,79,247,1771,0,5031,127,FALSE,4/26/2021 6:15,"Nairobi, Kenya",Here we GO,Yes,,,FALSE,1
George,1.73E+18,54,78,485,0,263,15,FALSE,12/11/2023 16:47,,,Yes,,,FALSE,0
#Rejectfinancebill2024,1.68E+18,45,40,2247,0,2196,21,FALSE,7/22/2023 6:54,,,Yes,,,FALSE,0
OptimusIR,1.66E+18,3,13,468,0,2548,5,FALSE,5/7/2023 13:43,,,Yes,,,FALSE,0
Big broo,1.77E+18,6,12,59,1,105,6,FALSE,3/7/2024 8:11,,"Defend the defenseless, INUA YOUTHS and Tuko Pamoja",Yes,,,FALSE,0
Kiarie Njau,140831779,195,360,2568,0,1776,15,FALSE,5/6/2010 13:37,"Nairobi,Kenya",Kenyan,Yes,,,FALSE,1
Shazzy,1.46E+18,3,7,2064,0,2765,0,FALSE,11/14/2021 15:52,,Learn to live 💃laugh😅and love❤️,Yes,,,FALSE,0
Mr Billionaire. 🇰🇪,8.27E+17,2921,4986,6172,1,43098,700,FALSE,2/2/2017 11:39,"Nairobi, Kenya","Impossibilities are not in my world. Determined Dreamer ||
IT Enthusiast.
Business Man || Farmer.
Arsenal. BillionaireTech",Yes,1.57E+18,,FALSE,1
wstrn,1.54E+18,4277,4534,35559,0,121155,185,FALSE,6/13/2022 6:55,"Olepolos, Kenya",nashangaa ni lini pesa itanitembelea,Yes,,https://t.co/7K5np4vtDx,FALSE,1
$abuni ¥a R¤h¤,1.04E+18,144,201,569,0,2743,1,FALSE,9/1/2018 8:19,,,Yes,,,FALSE,0
Mwananchi,1.67E+18,74,357,2329,0,10419,6,FALSE,6/11/2023 18:51,,,Yes,,,FALSE,0
Karwitha,1.18E+18,982,640,10085,0,12311,657,FALSE,10/14/2019 13:53,,🤪,Yes,,,FALSE,0
Palmwine Papi,3401588049,4479,1034,179262,2,54719,7780,FALSE,8/3/2015 18:44,Between Two Buns 😏,Believe in your sauce.,Yes,1.70E+18,,FALSE,1
Sophia,1.31E+18,723,870,7071,0,6236,457,FALSE,10/7/2020 8:02,"Volta, Ghana",Am a proud Ghanaian Now,Yes,,,FALSE,0
One minute man.,3257588560,128,183,3050,1,5379,246,FALSE,5/15/2015 18:18,Nairobbery,Dr fix it,Yes,,,FALSE,0
LEMA033,8.85E+17,4734,3798,12014,0,39832,62,FALSE,7/11/2017 9:53,"Narok, Kenya",,Yes,,,FALSE,0
Kasyoka,468222634,650,2257,4644,3,12482,302,FALSE,1/19/2012 9:26,"Nairobi, Kenya","The Prerequisite of an ideology to become a belief only needs believing, assurance and conversion. 🇰🇪",Yes,1.20E+18,,FALSE,0
Kingslayer,1229433444,274,361,2218,0,4034,24,FALSE,3/1/2013 9:51,Kenya,Go Hard or Go Home!,Yes,,https://t.co/VMnniQfuUU,FALSE,0
benson mwangi,1.77E+18,4,8,628,0,27,0,FALSE,3/19/2024 11:42,,,Yes,,,FALSE,0
Jonathan Mwendwa,563228085,564,948,1346,1,1201,80,FALSE,4/25/2012 19:50,"Nairobi, Kenya","A Live Sound Engineer... 
Music Producer🎼
Song writer🎵🎶🎵🎶
Singer🎤🎤🎤🎙
Trumpeter.  🎺🎺

#ALLOUTFORGOD",Yes,,https://t.co/c9lir2unXr,FALSE,1
Lawrence Muyah,1.56E+18,486,490,19931,3,19318,661,FALSE,8/24/2022 2:12,"Nairobi, Kenya",|| Royal Priest of Light | Father |Digital strategist | Political pundit | Educationist ||🇰🇪🇱🇷,Yes,1.57E+18,https://t.co/sqfDLPoN29,FALSE,1
griffith gitau,8.04E+17,249,714,5575,3,4353,73,FALSE,11/29/2016 12:25,Nairobi,Helping You Build Trust And Amplify Your Brands Identity Through Video | Founder Creativepad254 & AdMosaic (launching soon).,Yes,1.59E+18,https://t.co/uFqaPUST39,FALSE,1
𝐄𝐥𝐭𝐨𝐧𝐞𝐊𝐄🇰🇪,1.46E+18,719,1229,5606,2,35565,447,FALSE,11/10/2021 22:16,United Kingdom,I post my thoughts🧠 || Radio & TV Host || Media Personality || Developer || Digital Marketing Strategist || Communication Specialist || Ethical Hacker || MAN U,Yes,1.75E+18,https://t.co/KEdseNz39U,FALSE,0
Nash_Creative,1.05E+18,521,499,4285,0,50243,32,FALSE,10/5/2018 7:35,,,Yes,,,FALSE,0
𝙇𝙄𝙂𝙃𝙏𝙔𝙀𝘼𝙍,1294920638,2228,846,92416,0,125387,607,FALSE,3/24/2013 11:38,Nairobi,"🇰🇪🇿🇦Scorpio ♏ || ENTJ || Master Navigator || DSA || Remote Sensing || Manchester United || AC Milan
#RejectFinanceBill2024",Yes,1.81E+18,,FALSE,1
Kotz,8.29E+17,10,58,74,0,1155,1,FALSE,2/7/2017 7:12,,"Bold, fearless & brave minded",Yes,,,FALSE,0
Yhoooooh!!!,1.56E+18,6,27,1229,0,1217,14,FALSE,8/10/2022 8:08,,,Yes,,,FALSE,0
Au Sio?,1.51E+18,22513,2342,46685,14,74053,6937,FALSE,3/19/2022 8:17,Decentraland,"#Bitcoin || Tech|| Digital Marketing Expert||
|| Making money is an art known by a few || 0724041612 ||

Contributor @kenyanwalstreet",Yes,1.54E+18,https://t.co/zjzxcOPJuw,FALSE,0
Sarah Wanja,1.62E+18,3,32,439,0,482,0,FALSE,1/21/2023 17:37,,,Yes,,,FALSE,0
Arno,301385540,1254,1109,138851,6,8281,1120,FALSE,5/19/2011 11:32,,Live Life... Love Football|#MUFC #OM,Yes,1.51E+18,,FALSE,1
Lone Wolf,2729572434,1940,188,7235,0,8520,13,FALSE,8/13/2014 14:39,anywhere,JUST RETWEETS.,Yes,,,FALSE,1
sliq🇰🇪,123968203,791,2436,12193,5,10570,34,FALSE,3/17/2010 20:22,Kenya,📌,Yes,,,FALSE,0
nigel ooko,1.52E+18,19,103,1170,0,4088,3,FALSE,4/20/2022 18:37,"Nairobi, Kenya","Don't overthink it, live and do what pleases you... you're here for a moment why not let it be you best...also be Kind.

New account",Yes,1.81E+18,,FALSE,1
Bonham™,4857230650,1810,4419,13395,1,58930,522,FALSE,1/28/2016 13:16,Outdoor,"Finance//Investment Advisor💰💹
Tech//Artificial Intelligence👨🏽‍💻⚙️
Personal Trainer🏋🏽‍♂️💪🏽
AMBivert
@ChelseaFC💙

Half human/Half amazing 💯",Yes,1.81E+18,,FALSE,0
0xC0de,173839225,162,139,69,0,244,1,FALSE,8/2/2010 13:55,kenya,,Yes,8.97E+17,,FALSE,0
Wakasaeez,1.42E+18,68,137,2350,0,9094,5,FALSE,7/21/2021 11:16,Kenya,,Yes,1.45E+18,,FALSE,0
Cloudy 💭,1.50E+18,592,772,2161,0,14123,74,FALSE,3/17/2022 15:12,"Nakuru, Kenya",My Authentic Self,Yes,,,FALSE,0
Cyril Omondi,1.71E+18,22,250,1432,0,955,1,FALSE,9/29/2023 2:21,"Thika, Kenya",A chip of the old block,Yes,,,FALSE,0
junior,1.30E+18,119,207,2706,0,2690,46,FALSE,9/4/2020 19:49,,am allergic to bullshit,Yes,,,FALSE,0
As I was saying,1.25E+18,32,35,464,0,47,4,FALSE,4/3/2020 9:58,,,Yes,1.81E+18,,FALSE,0
Gyptian🤘,1.41E+18,24,36,78,0,120,1,FALSE,6/28/2021 23:56,,"Usifumble🤞
Itakuja tu❤",Yes,1.41E+18,,FALSE,1
Njeri,171516295,2657,1187,130987,20,25066,5120,FALSE,7/27/2010 14:44,"Nairobi, Kenya",Live a little :),Yes,,https://t.co/o8Shp4DG5T,FALSE,1
The Gossip Room,1.55E+18,77,139,534,0,3602,186,FALSE,7/9/2022 21:20,,"Every Entertainment gossips, drama, politics and Sports.",Yes,,,FALSE,1
Psychic_pachu,1.64E+18,82,169,264,0,14499,28,FALSE,3/18/2023 10:31,,"All focus to the sack💰💰
Everything Ben Franklin s",Yes,,,FALSE,0
#RutoMustGo ✊,7.49E+17,3039,2798,3792,1,14363,951,FALSE,6/30/2016 17:23,"Nairobi, Kenya","In a world you can be anything, DON'T be poor!〽️",Yes,1.68E+18,,FALSE,1
Nzomo Matigari Njirúngi,144806608,158,384,6308,0,12232,25,FALSE,5/17/2010 10:33,,Matigari ma Njirúngi,Yes,,,FALSE,1
RejectFinanceBill2024,1.71E+18,218,557,4414,0,63660,1,FALSE,10/12/2023 7:11,,RejectFinanceBill2024,Yes,,,FALSE,0
pharaoh of salem 🔱,1.68E+18,143,29,1346,0,5972,48,FALSE,7/24/2023 14:32,,,Yes,,,FALSE,0
Vick e/acc,1.43E+18,349,1613,6828,2,17240,199,FALSE,8/27/2021 19:31,,Cityzen💙,Yes,,,FALSE,1
Oops I😅,1.12E+18,490,395,5507,1,6608,613,FALSE,5/1/2019 17:58,,I'm pickle Rickkk🥒,Yes,1.28E+18,,FALSE,1
cowboy char 🫧,1.60E+18,26,99,1556,0,4764,0,FALSE,12/15/2022 14:18,,"18 🤍✨️
she/her
🇰🇪",Yes,,,FALSE,0
IAmSwitchKenya,2260420023,2131,2155,31371,3,14399,1197,FALSE,1/3/2014 17:51,Kenya,Server space plug|Coding|Women Beauty|Reggae|Linux|Data,Yes,1.58E+18,https://t.co/vA9V0sIYI8,FALSE,0
________,343959699,2453,1981,17728,6,11057,1,FALSE,7/28/2011 10:15,"Nairobi, Kenya",,Yes,,,FALSE,0
Obwogo Jnr,7.96E+17,6,18,81,0,159,0,FALSE,11/7/2016 6:56,"Kisii, Kenya",Coding :Technology,Yes,,,FALSE,1
Lenard,1.28E+18,189,390,21898,0,23453,18,FALSE,7/12/2020 12:15,,,Yes,,,FALSE,0
#RejectFinanceBill2024 #RutoMustGo,23737695,3749,3166,56865,79,3253,876,FALSE,3/11/2009 8:20,Africa,Leveraging the inherent strengths of technology to improve business and impact lives! || I figure out stuff! || Salesforce || Sandboxer #Kaizen #Traveller #SOL,Yes,9.56E+17,,FALSE,0
Imefika Thenacara?,1.19E+18,1111,1396,7774,0,39912,740,FALSE,10/23/2019 17:36,not here nor there,"🐾
Ambassador wa kiburi.
Podcaster: @TreehousePod.",Yes,1.61E+18,https://t.co/vPJVwsx96Y,FALSE,0
Wambui Wahome,4173750136,781,397,7549,0,45639,4,FALSE,11/12/2015 20:04,Kenya,Traditionalist,Yes,,,FALSE,1
Wayne Gakuo,582110422,21463,5286,44378,32,30610,3001,FALSE,5/16/2012 19:44,Mombasa 🇰🇪,@GoogleDevExpert for @angular • Frontend •  Lead @GDG_Pwani x @angular_kenya • Co-Organizer @GDG_Nairobi • Opinions === Mine,Yes,1.46E+18,https://t.co/1Bzfekq8fT,FALSE,1
Nifemi,8.52E+17,941,1001,18264,1,268505,57,FALSE,4/12/2017 23:56,"blumenau, SC",Software Engineer • Swimmer • Blumenau,Yes,,https://t.co/c3caJVv1KO,FALSE,1
Makena kimaita,4221843658,1140,966,9225,1,124641,107,FALSE,11/18/2015 23:07,"Nairobi, Kenya","Advocate of the High Court of Kenya 👩‍⚖️
Founder The Youth Clan @the_youthclan 
Manchester United ❤️
Life is for the living 😎",Yes,,,FALSE,0
SpongeBobsLandlord,1.15E+18,442,445,8298,0,120254,2,FALSE,6/30/2019 21:40,,"bb king x Gary Moore 🎸;
Gin;

F1;",Yes,,,FALSE,0
Healthtopiak✊🏾,7.89E+17,875,463,6234,2,1760,2190,FALSE,10/19/2016 20:34,Kenya,"Holistic Nutritionist 
Alkanutritioline
CHEF Truth Seeker
#MENtalHealthAdvocate 
 Food For Medicine 
#AFRICANFARMECY ❤️ARIES♈  
The Healing Factory 🌱",Yes,1.73E+18,,FALSE,0
thereadingnookke,1.41E+18,80,155,1736,0,2260,9,FALSE,6/23/2021 9:16,,,Yes,1.47E+18,,FALSE,0
I am Mathu,2258132174,859,407,6431,0,5883,74,FALSE,12/22/2013 21:05,,,Yes,1.81E+18,,FALSE,0
Shikoh Kihika,411449934,70871,6597,56508,116,7132,3543,FALSE,11/13/2011 12:40,"Nakuru, Kenya",Be the change that you wish to see in the world. @TedX speaker 2019|| @TribelessYouth || shikohkihika@gmail.com || African Attitude || Sapio ||🇰🇪🇰🇪,Yes,9.32E+17,https://t.co/sxTRY5uyan,TRUE,0
no,1.27E+18,11,5,1720,0,6797,0,FALSE,6/10/2020 19:44,,,Yes,,,FALSE,0
Iva,1.71E+18,90,165,2451,0,16877,10,FALSE,9/30/2023 15:53,"Meru, Kenya","Relax.
#KTBFFH😍",Yes,1.81E+18,,FALSE,0
ETH,465429251,268,162,2734,0,750,79,FALSE,1/16/2012 10:22,Old Trafford at heart.,"@ManUtd fan!!

#Simpsons #TheBoondocks

My best half @_wanjiru_",Yes,,,FALSE,0
Bl♠ck viking,1.29E+18,974,795,15484,0,30141,300,FALSE,8/7/2020 11:41,,"Me smoke weed none stop
Manunited fanatic😎
GGMU❤",Yes,1.44E+18,,FALSE,1
Mwira,1.54E+18,18,120,850,0,932,0,FALSE,6/22/2022 18:16,,🇰🇪,Yes,,,FALSE,1
Vladimir Masai 🦾,1.56E+18,140,138,349,0,476,4,FALSE,8/6/2022 22:57,,,Yes,,,FALSE,0
Mbithi Masya,25657548,12968,2659,57486,65,34561,6942,FALSE,3/21/2009 9:17,,Filmmaker // Member of @justaband // Co-founder of @nbofilmfest // Rep @tulsea,Yes,1.78E+18,https://t.co/FcoR5DAls0,FALSE,1
⋆⭒˚｡Beej⋆✧˖°.,7.39E+17,546,617,47701,1,136944,837,FALSE,6/4/2016 5:40,,"♡יהוה🌾

Patriot💡B.Eng 🎨 Artist 🇰🇪

#RejectFinanceBill2024",Yes,1.61E+18,,FALSE,0
Simbaa.. Malcolm,1.70E+18,583,532,7419,0,10938,347,FALSE,8/29/2023 18:03,,"If you keep private what you do in private private,no one will bother you. It's either you talk/act like one/do both like you don't care who the effing king is",Yes,1.73E+18,,FALSE,0
benaMZiir Bhutto,322111188,1008,1007,32541,9,26472,1513,FALSE,6/22/2011 17:08,"Mombasa, Kenya",LARAVEL | MySQL,Yes,,https://t.co/AJ6FLnI0o7,FALSE,0
kunta kinte 📍🇰🇪,1.11E+18,5297,6055,106858,1,233392,2173,FALSE,3/26/2019 12:14,"Nairobi, Kenya","I am the way, the truth. Says the lord and whoever follow me shall have eternal life.",Yes,1.48E+18,,FALSE,0
Rims,1.75E+18,995,2125,844,0,317,40,FALSE,1/16/2024 14:12,"Meru, Kenya",born at a very young age,Yes,,,FALSE,1
Rxcky,238971413,1323,510,104770,28,6930,917,FALSE,1/16/2011 13:42,"Nairobi, Kenya","Drugs.
You'll Never Walk Alone.",Yes,8.89E+17,,FALSE,0
Mokua,7.05E+17,855,2462,7528,0,14937,87,FALSE,3/3/2016 4:03,"Nairobi, Kenya",Valar morghulis,Yes,,,FALSE,0
1-MIKE,18044410,2300,3462,91600,15,7583,6677,FALSE,12/11/2008 9:23,Naitown,"Anti-Talking Stage,Save the side mboshos.

Team Ngirimba",Yes,1.62E+18,,FALSE,1
Chichi,1.27E+18,6,87,727,0,5053,1,FALSE,6/1/2020 15:16,,she/ her,Yes,,,FALSE,1
Sarah🦋,1.52E+18,7412,4781,21472,1,20746,864,FALSE,5/5/2022 21:59,"Nairobi, Kenya","I'm a PWD//
Digital marketer. DM for business.",Yes,,,FALSE,1
Sheils 🇰🇪 🇺🇸,397214177,1576,1016,41000,6,2182,439,FALSE,10/24/2011 11:49,"Dallas, TX","I Make Things Happen and Concepts Come Alive | #ManchesterUnited | Nairobi, Kenya
🇰🇪 | Dallas, TX 🇺🇸",Yes,,,FALSE,1
.,1.13E+18,455,717,33835,1,18640,235,FALSE,5/10/2019 7:31,Kenya,,Yes,1.74E+18,,FALSE,0
Jakes Mwangi,3662073737,451,438,8987,0,15201,33,FALSE,9/15/2015 8:36,"lower kabete,Kenya",Unprovoked Happiness.,Yes,1.19E+18,,FALSE,0
Annette,307508819,1966,3202,2588,3,1168,14,FALSE,5/29/2011 19:25,Kenya,Personal Fitness Trainer,Yes,1.59E+18,https://t.co/aS0BzybwZh,FALSE,1
